***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: DECOMP     - Versao 31.14 - Dez/2022(L)                     *
*                                                                     *
***********************************************************************


____________________________________________________________________

 Caso Reduzido para Testes                
____________________________________________________________________

--------------------------------------
Resultado de operacao dos subsistemas.                                          
--------------------------------------
---------------------------------------------------
IPER;      Indice do periodo                                                                                                                                                                            
INO;       Indice do no                                                                                                                                                                                 
ICEN;      Indice do cenario                                                                                                                                                                            
IPAT;      Patamar de Carga                                                                                                                                                                             
Dur;       Duracao                                                                                                                                                                                      
SIST;      Numero do subsistema                                                                                                                                                                         
Nome Sist; Nome do subsistema                                                                                                                                                                           
Demanda;   Demanda                                                                                                                                                                                      
GerPeq;    Geracao das pequenas usinas                                                                                                                                                                  
Gter;      Geracao Termoeletrica                                                                                                                                                                        
GterAT;    Geracao termica antecipada                                                                                                                                                                   
Ghid;      Gero hidroeletrica                                                                                                                                                                        
Geol;      Geracao eolica                                                                                                                                                                               
Cbomb;     Energia Consumida para bombeamento                                                                                                                                                           
Compra;    Energia importada                                                                                                                                                                            
Venda;     Energia exportada                                                                                                                                                                            
IntercLiq; Saldo da energia de intercambio                                                                                                                                                              
Itaipu50;  Geracao 50Hz de Itaipu                                                                                                                                                                       
Itaipu60;  Geracao 60Hz de Itaipu                                                                                                                                                                       
Deficit;   Deficit no Subsistema                                                                                                                                                                        
ENA;       Energia Afluente                                                                                                                                                                             
EarmInic;  Energia Armazenada Inicial                                                                                                                                                                   
EarmInic%; Energia Armazenada Inicial em percentual                                                                                                                                                     
EarmFim;   Energia Armazenada Final                                                                                                                                                                     
EarmFim%;  Energia Armazenada Final em percentual                                                                                                                                                       
CMO;       Custo Marginal de Operacao                                                                                                                                                                   
---------------------------------------------------

@Tabela
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; INO  ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;   Geol   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   1 ;    1 ;    1 ;   1 ;  40.00 ;  1 ; SE            ;    48383.0 ;   3374.0 ;  6509.80 ;   548.00 ; 33567.62 ;     0.00 ;    13.58 ;     0.00 ;     0.00 ;    7576.16 ;  1900.00 ;  5009.89 ;     0.00 ;  12608.1 ;      47877.48 ;    23.43 ;      52743.55 ;    25.81 ;  956.18 ;
   1 ;    1 ;    1 ;   2 ;  46.00 ;  1 ; SE            ;    44961.0 ;   3374.0 ;  6388.30 ;   547.60 ; 29077.62 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    8207.08 ;  1900.00 ;  5670.89 ;     0.00 ;  12608.1 ;      47877.48 ;    23.43 ;      52743.55 ;    25.81 ;  923.10 ;
   1 ;    1 ;    1 ;   3 ;  82.00 ;  1 ; SE            ;    37812.0 ;   3374.0 ;  6388.30 ;   546.60 ; 23161.62 ;     0.00 ;   115.60 ;     0.00 ;     0.00 ;    6031.08 ;  1900.00 ;  2865.60 ;     0.00 ;  12608.1 ;      47877.48 ;    23.43 ;      52743.55 ;    25.81 ;  870.31 ;
   1 ;    1 ;    1 ;  -  ;   -    ;  1 ; SE            ;    42286.4 ;   3374.0 ;  6417.23 ;   547.21 ; 27259.10 ;     0.00 ;    91.31 ;     0.00 ;     0.00 ;    6994.77 ;  1900.00 ;  4144.26 ;     0.00 ;  12608.1 ;      47877.48 ;    23.43 ;      52743.55 ;    25.81 ;  905.21 ;
   1 ;    1 ;    1 ;   1 ;  40.00 ;  2 ; S             ;    16123.0 ;   2065.0 ;  1901.10 ;     0.00 ;  4190.49 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    7966.41 ;    -     ;    -     ;     0.00 ;    496.6 ;       5781.02 ;    29.05 ;       5777.39 ;    29.04 ;  956.18 ;
   1 ;    1 ;    1 ;   2 ;  46.00 ;  2 ; S             ;    14100.0 ;   2065.0 ;  1897.80 ;     0.00 ;  2045.77 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    8091.43 ;    -     ;    -     ;     0.00 ;    496.6 ;       5781.02 ;    29.05 ;       5777.39 ;    29.04 ;  923.11 ;
   1 ;    1 ;    1 ;   3 ;  82.00 ;  2 ; S             ;    11458.0 ;   2065.0 ;  1888.30 ;     0.00 ;  1451.50 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;    6053.20 ;    -     ;    -     ;     0.00 ;    496.6 ;       5781.02 ;    29.05 ;       5777.39 ;    29.04 ;  870.31 ;
